no,agency,corp_name,year,designation_type,industry,ghg_tco2eq,energy_tj,verifier,remark
221,기후에너지환경부,(주)한국특강,2024,업체,1차 철강 제조업,349281.0,6239.0,(주)한국경영인증원,
222,산업통상자원부,(주)한금,2024,사업장,철강,17179.0,371.0,한국표준협회,
223,기후에너지환경부,(주)한솔케미칼,2024,사업장,기초 화학물질 제조업,133544.0,2813.0,대일이엔씨기술(주),
224,기후에너지환경부,(주)한솔홈데코,2024,사업장,나무제품 제조업,63294.0,2027.0,(주)한국경영인증원,
225,산업통상자원부,(주)한양에스앤씨,2024,사업장,자동차,19575.0,347.0,(주)한국경영인증원,
226,기후에너지환경부,(주)한익스프레스,2024,사업장,도로 화물 운송업,23918.0,400.0,한국표준협회,
227,기후에너지환경부,(주)한일고속,2024,사업장,육상 여객 운송업,70972.0,973.0,(주)한국경영인증원,
228,기후에너지환경부,(주)한주,2024,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",1049220.0,12857.0,㈜디엔브이비즈니스어슈어런스코리아,
229,기후에너지환경부,(주)한진,2024,업체,도로 화물 운송업,102568.0,1644.0,한국표준협회,
230,기후에너지환경부,(주)한창제지,2024,업체,"펄프, 종이 및 판지 제조업",193116.0,2442.0,한국표준협회,
231,기후에너지환경부,(주)한화,2024,업체,기타 화학제품 제조업,64772.0,1213.0,㈜디엔브이비즈니스어슈어런스코리아,
232,기후에너지환경부,(주)현대백화점,2024,업체,종합 소매업,162990.0,3416.0,한국표준협회,
233,기후에너지환경부,(주)현대엘앤씨,2024,사업장,플라스틱 제품 제조업,38430.0,785.0,로이드인증원㈜,
234,기후에너지환경부,(주)현대케피코,2024,사업장,자동차 신품 부품 제조업,24930.0,515.0,로이드인증원㈜,
235,국토교통부,(주)화성여객,2024,사업장,교통(여객),25348.0,406.0,(주)한국경영인증원,
236,산업통상자원부,(주)화승알앤에이,2024,사업장,석유화학,20734.0,426.0,한국표준협회,
237,기후에너지환경부,(주)화승케미칼,2024,사업장,플라스틱 제품 제조업,25483.0,522.0,(주)한국경영인증원,
238,산업통상자원부,(주)화인베스틸,2024,사업장,철강,18934.0,346.0,(주)한국경영인증원,
239,기후에너지환경부,(합)경남여객,2024,사업장,육상 여객 운송업,41498.0,701.0,한국표준협회,
240,기후에너지환경부,CJ대한통운(주),2024,업체,도로 화물 운송업,228750.0,4077.0,(주)한국경영인증원,
241,기후에너지환경부,CJ제일제당(주),2024,업체,"곡물 가공품, 전분 및 전분제품 제조업",421213.0,9704.0,(재)한국화학융합시험연구원,
242,국토교통부,GS건설(주),2024,업체,건설,116706.0,2166.0,(재)한국품질재단,
243,기후에너지환경부,GS파워,2024,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",2696279.0,52465.0,한국표준협회,
244,기후에너지환경부,JW 생명과학(주),2024,사업장,의약품 제조업,28248.0,577.0,한국표준협회,
245,산업통상자원부,KPX케미칼(주),2024,사업장,석유화학,24270.0,770.0,(주)한국경영인증원,
246,기후에너지환경부,LB세미콘(주),2024,사업장,반도체 제조업,48250.0,1002.0,한국표준협회,
247,기후에너지환경부,LX엠엠에이,2024,업체,기초 화학물질 제조업,327127.0,2974.0,(주)한국경영인증원,
248,기후에너지환경부,NC양산(주),2024,사업장,폐기물 처리업,32957.0,24.0,한국표준협회,
249,기후에너지환경부,NC울산(주),2024,사업장,폐기물 처리업,71888.0,40.0,한국표준협회,
250,기후에너지환경부,OCI SE 주식회사,2024,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",1290550.0,23775.0,㈜디엔브이비즈니스어슈어런스코리아,
251,기후에너지환경부,S-Oil(주),2024,업체,석유 정제품 제조업,9632037.0,127576.0,한국표준협회,
252,기후에너지환경부,SKbroadband(주),2024,업체,전기 통신업,455962.0,9485.0,㈜디엔브이비즈니스어슈어런스코리아,
253,기후에너지환경부,SK이노베이션(주),2024,업체,일차전지 및 축전지 제조업,2364006.0,47046.0,한국표준협회,
254,기후에너지환경부,SK인천석유화학(주),2024,업체,석유 정제품 제조업,1538765.0,45185.0,한국표준협회,
255,산업통상자원부,Y&T파워텍(주),2024,사업장,자동차,19258.0,401.0,(주)비에스아이그룹코리아,
256,기후에너지환경부,㈜토탈,2024,사업장,폐기물 처리업,64339.0,70.0,(재)한국품질재단,
257,산업통상자원부,가온전선주식회사,2024,사업장,전기전자,8572.0,175.0,(주)비에스아이그룹코리아,
258,국토교통부,강남금융센터(주),2024,사업장,건물,17358.0,358.0,한국표준협회,
259,산업통상자원부,강남화성(주),2024,사업장,석유화학,19455.0,314.0,한국표준협회,
